Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781579116,10,,Aggregated,2.700000,0.000000,1500,2200,2600,2800,4200,5800,9100,9200,9500,9500,9500,233,0,1500,2000.660578600883,128.58166200021515,9513.688000999537,1220.7081545064377
1781579117,10,,Aggregated,2.700000,0.000000,1500,2200,2600,2800,4200,5800,9100,9200,9500,9500,9500,240,0,1500,1966.6816069208694,128.58166200021515,9513.688000999537,1217.9458333333334
1781579118,10,,Aggregated,3.000000,0.000000,1400,2200,2500,2800,4200,5600,9100,9200,9500,9500,9500,243,0,1400,1949.7298764527093,128.58166200021515,9513.688000999537,1216.5802469135801
1781579119,10,,Aggregated,3.000000,0.000000,1400,2100,2500,2800,4200,5600,9100,9200,9500,9500,9500,246,0,1400,1938.7204599553106,128.58166200021515,9513.688000999537,1217.8089430894308
1781579120,10,,Aggregated,3.400000,0.000000,1400,2100,2500,2800,4200,5600,9100,9200,9500,9500,9500,249,0,1400,1917.700984674723,128.58166200021515,9513.688000999537,1214.4939759036145
1781579121,10,,Aggregated,3.500000,0.000000,1400,2100,2500,2800,4200,5600,9100,9200,9500,9500,9500,254,0,1400,1889.7724859921448,128.58166200021515,9513.688000999537,1212.4803149606298
1781579122,10,,Aggregated,3.400000,0.000000,1400,2100,2500,2700,4200,5600,9100,9200,9500,9500,9500,256,0,1400,1881.8168530039275,128.58166200021515,9513.688000999537,1213.4453125
1781579123,10,,Aggregated,3.400000,0.000000,1400,2100,2500,2700,4200,5600,9100,9200,9500,9500,9500,260,0,1400,1866.0949302538745,128.58166200021515,9513.688000999537,1213.746153846154
1781579124,10,,Aggregated,3.400000,0.000000,1400,2000,2500,2700,4100,5600,9100,9200,9500,9500,9500,263,0,1400,1855.3079281331115,128.58166200021515,9513.688000999537,1212.148288973384
1781579125,10,,Aggregated,3.400000,0.000000,1400,2000,2500,2700,4100,5600,9100,9200,9500,9500,9500,265,0,1400,1854.8134738377673,128.58166200021515,9513.688000999537,1214.7018867924528
1781579126,10,,Aggregated,3.400000,0.000000,1400,2000,2500,2700,4100,5600,9100,9200,9500,9500,9500,266,0,1400,1854.9882614624419,128.58166200021515,9513.688000999537,1214.8796992481202
1781579127,10,,Aggregated,3.600000,0.000000,1400,2000,2500,2700,4100,5600,9100,9200,9500,9500,9500,267,0,1400,1855.0048124382365,128.58166200021515,9513.688000999537,1215.936329588015
1781579128,10,,Aggregated,3.600000,0.000000,1400,2000,2500,2700,4100,5600,9100,9200,9500,9500,9500,267,0,1400,1855.0048124382365,128.58166200021515,9513.688000999537,1215.936329588015
1781579129,10,,Aggregated,2.700000,0.000000,1400,2100,2500,2700,4200,5600,9100,9200,9500,9500,9500,269,0,1400,1870.7290065390664,128.58166200021515,9513.688000999537,1223.4312267657992
1781579130,10,,Aggregated,2.700000,0.000000,1400,2100,2500,2800,4200,5600,9100,9200,9500,9500,9500,270,0,1400,1879.7117460852169,128.58166200021515,9513.688000999537,1225.0222222222221
1781579131,10,,Aggregated,2.400000,0.000000,1400,2100,2500,2800,4200,5600,9100,9200,9500,9500,9500,272,0,1400,1899.5150026434192,128.58166200021515,9513.688000999537,1226.4448529411766
1781579132,10,,Aggregated,2.100000,0.000000,1400,2100,2500,2800,4300,5600,9100,9200,9500,9500,9500,274,0,1400,1924.5449243978414,128.58166200021515,9513.688000999537,1228.5693430656934
1781579133,10,,Aggregated,2.100000,0.000000,1400,2100,2600,2800,4500,5600,9100,9200,9500,9500,9500,277,0,1400,1957.795749104719,128.58166200021515,9513.688000999537,1228.563176895307
1781579134,10,,Aggregated,2.100000,0.000000,1400,2100,2600,2800,4500,5600,9100,9200,9500,9500,9500,277,0,1400,1957.795749104719,128.58166200021515,9513.688000999537,1228.563176895307
1781579135,10,,Aggregated,1.800000,0.000000,1400,2200,2600,3000,4500,5600,9100,9200,9500,9500,9500,280,0,1400,1975.0459321178903,128.58166200021515,9513.688000999537,1232.125
1781579136,10,,Aggregated,1.800000,0.000000,1400,2200,2600,3000,4500,5500,9100,9200,9500,9500,9500,282,0,1400,1985.644757790817,128.58166200021515,9513.688000999537,1233.6985815602836
1781579137,10,,Aggregated,1.400000,0.000000,1400,2300,2700,3100,4500,5500,9100,9200,9500,9500,9500,285,0,1400,1997.2201851123266,128.58166200021515,9513.688000999537,1234.9438596491227
1781579138,10,,Aggregated,1.600000,0.000000,1500,2300,2700,3100,4500,5500,9100,9200,9500,9500,9500,287,0,1500,2003.4382345679878,128.58166200021515,9513.688000999537,1234.2752613240418
1781579139,10,,Aggregated,1.600000,0.000000,1500,2300,2700,3100,4500,5500,9100,9200,9500,9500,9500,290,0,1500,2002.720401624175,128.58166200021515,9513.688000999537,1234.606896551724
1781579140,10,,Aggregated,1.900000,0.000000,1400,2300,2700,3100,4500,5500,9100,9200,9500,9500,9500,297,0,1400,1986.064533188593,128.58166200021515,9513.688000999537,1231.5521885521885
1781579141,10,,Aggregated,2.100000,0.000000,1400,2200,2700,3100,4500,5500,9100,9200,9500,9500,9500,300,0,1400,1968.9408739067048,128.58166200021515,9513.688000999537,1229.52
1781579142,10,,Aggregated,2.400000,0.000000,1400,2200,2600,3000,4300,5400,8800,9100,9500,9500,9500,305,0,1400,1946.1953992656065,128.58166200021515,9513.688000999537,1226.8459016393442
1781579143,10,,Aggregated,2.700000,0.000000,1400,2200,2600,3000,4300,5400,8800,9100,9500,9500,9500,307,0,1400,1940.843022032601,128.58166200021515,9513.688000999537,1226.9771986970684
1781579144,10,,Aggregated,3.000000,0.000000,1400,2100,2600,3000,4300,5400,8800,9100,9500,9500,9500,312,0,1400,1921.769122679513,128.58166200021515,9513.688000999537,1224.929487179487
1781579145,10,,Aggregated,2.900000,0.000000,1400,2100,2600,3000,4300,5400,8800,9100,9500,9500,9500,314,0,1400,1918.3947465159526,128.58166200021515,9513.688000999537,1225.9331210191083
1781579146,10,,Aggregated,2.900000,0.000000,1400,2100,2600,3000,4300,5400,8800,9100,9500,9500,9500,316,0,1400,1913.7794147785069,128.58166200021515,9513.688000999537,1225.0474683544303
1781579147,10,,Aggregated,3.400000,0.000000,1400,2100,2600,2900,4200,5300,8800,9100,9500,9500,9500,322,0,1400,1898.6867598509582,128.58166200021515,9513.688000999537,1223.1149068322982
1781579148,10,,Aggregated,3.400000,0.000000,1400,2100,2500,2900,4200,5300,8800,9100,9500,9500,9500,325,0,1400,1890.8793412831103,128.58166200021515,9513.688000999537,1222.313846153846
1781579149,10,,Aggregated,3.700000,0.000000,1400,2100,2500,2900,4200,5300,8800,9100,9500,9500,9500,328,0,1400,1883.5287704847838,128.58166200021515,9513.688000999537,1222.5731707317073
1781579150,10,,Aggregated,3.700000,0.000000,1400,2000,2500,2800,4200,5300,8800,9100,9500,9500,9500,333,0,1400,1869.2708795525768,128.58166200021515,9513.688000999537,1220.8168168168168
1781579151,10,,Aggregated,3.700000,0.000000,1300,2000,2500,2800,4200,5300,8800,9100,9500,9500,9500,337,0,1300,1852.9649511424598,128.58166200021515,9513.688000999537,1218.5311572700298
1781579152,10,,Aggregated,3.800000,0.000000,1300,2000,2500,2800,4200,5300,8800,9100,9500,9500,9500,338,0,1300,1851.090491769258,128.58166200021515,9513.688000999537,1219.2100591715975
1781579153,10,,Aggregated,3.800000,0.000000,1300,2000,2500,2800,4200,5300,8800,9100,9500,9500,9500,340,0,1300,1847.7419481117922,128.58166200021515,9513.688000999537,1217.9382352941177
1781579154,10,,Aggregated,3.400000,0.000000,1300,2000,2500,2800,4200,5300,8800,9100,9500,9500,9500,343,0,1300,1851.1071520495866,128.58166200021515,9513.688000999537,1220.6734693877552
1781579155,10,,Aggregated,3.400000,0.000000,1300,2000,2500,2800,4200,5300,8800,9100,9500,9500,9500,343,0,1300,1851.1071520495866,128.58166200021515,9513.688000999537,1220.6734693877552
1781579156,10,,Aggregated,3.100000,0.000000,1300,2000,2500,2900,4200,5300,8800,9100,9500,9500,9500,345,0,1300,1861.2864462116172,128.58166200021515,9513.688000999537,1224.231884057971
1781579157,10,,Aggregated,3.100000,0.000000,1400,2100,2500,2900,4200,5300,8800,9100,9500,9500,9500,348,0,1400,1873.6061761034666,128.58166200021515,9513.688000999537,1223.2557471264367
1781579158,10,,Aggregated,2.800000,0.000000,1400,2100,2600,3000,4200,5300,8800,9100,9500,9500,9500,350,0,1400,1881.7373326600186,128.58166200021515,9513.688000999537,1225.8028571428572
1781579159,10,,Aggregated,2.800000,0.000000,1400,2100,2600,3000,4100,5300,8700,9100,9500,9500,9500,351,0,1400,1886.4014683276557,128.58166200021515,9513.688000999537,1226.2307692307693
1781579160,10,,Aggregated,2.800000,0.000000,1400,2100,2600,3000,4100,5300,8700,9100,9500,9500,9500,352,0,1400,1890.0969583380888,128.58166200021515,9513.688000999537,1227.6818181818182
1781579161,10,,Aggregated,2.400000,0.000000,1400,2100,2600,3000,4200,5300,8700,9100,9500,9500,9500,354,0,1400,1902.4357596864595,128.58166200021515,9513.688000999537,1230.9293785310736
